# Region type :  patch inlet
# Faces          : 70
# Area           : 9.8000000000e-03
# Scale factor   : 1.0000000000e+00
# Time           	sum(phi)
2.96465          	-3.7888677358e-02
2.9697           	-3.7886332496e-02
2.97475          	-3.7883994628e-02
2.9798           	-3.7881653127e-02
2.98485          	-3.7879314153e-02
2.9899           	-3.7876973529e-02
2.99495          	-3.7874634159e-02
3                	-3.7872294324e-02
3.00505          	-3.7869955334e-02
3.0101           	-3.7867616169e-02
3.01515          	-3.7865277764e-02
3.0202           	-3.7862939203e-02
3.02525          	-3.7860601875e-02
3.0303           	-3.7858260615e-02
3.03535          	-3.7855926130e-02
3.0404           	-3.7853587820e-02
3.04545          	-3.7851252876e-02
3.05051          	-3.7848912354e-02
3.05556          	-3.7846579085e-02
3.06061          	-3.7844241810e-02
3.06566          	-3.7841908238e-02
3.07071          	-3.7839568799e-02
3.07576          	-3.7837236401e-02
3.08081          	-3.7834900461e-02
3.08586          	-3.7832567923e-02
3.09091          	-3.7830229767e-02
3.09596          	-3.7827898938e-02
3.10101          	-3.7825563902e-02
3.10606          	-3.7823232637e-02
3.11111          	-3.7820895485e-02
3.11616          	-3.7818565674e-02
3.12121          	-3.7816231982e-02
3.12626          	-3.7813902102e-02
3.13131          	-3.7811568813e-02
3.13636          	-3.7809237289e-02
3.14141          	-3.7806902405e-02
3.14646          	-3.7804573909e-02
3.15152          	-3.7802243038e-02
3.15657          	-3.7799913270e-02
3.16162          	-3.7797579501e-02
3.16667          	-3.7795252357e-02
3.17172          	-3.7792922515e-02
3.17677          	-3.7790593888e-02
3.18182          	-3.7788264946e-02
3.18687          	-3.7785935741e-02
3.19192          	-3.7783607409e-02
3.19697          	-3.7781278837e-02
3.20202          	-3.7778947547e-02
3.20707          	-3.7776622502e-02
3.21212          	-3.7774295472e-02
3.21717          	-3.7771969687e-02
3.22222          	-3.7769638530e-02
3.22727          	-3.7767315051e-02
3.23232          	-3.7764988698e-02
3.23737          	-3.7762664389e-02
3.24242          	-3.7760334169e-02
3.24747          	-3.7758011398e-02
3.25253          	-3.7755686442e-02
3.25758          	-3.7753362930e-02
3.26263          	-3.7751037900e-02
3.26768          	-3.7748714197e-02
3.27273          	-3.7746385946e-02
3.27778          	-3.7744065075e-02
3.28283          	-3.7741741756e-02
3.28788          	-3.7739419910e-02
3.29293          	-3.7737096595e-02
3.29798          	-3.7734774571e-02
3.30303          	-3.7732451861e-02
3.30808          	-3.7730130343e-02
3.31313          	-3.7727808262e-02
3.31818          	-3.7725487423e-02
3.32323          	-3.7723162029e-02
3.32828          	-3.7720843870e-02
3.33333          	-3.7718523521e-02
3.33838          	-3.7716204508e-02
3.34343          	-3.7713884082e-02
3.34848          	-3.7711564915e-02
3.35354          	-3.7709245043e-02
3.35859          	-3.7706926486e-02
3.36364          	-3.7704607094e-02
3.36869          	-3.7702289129e-02
3.37374          	-3.7699970269e-02
3.37879          	-3.7697652867e-02
3.38384          	-3.7695334668e-02
3.38889          	-3.7693017755e-02
3.39394          	-3.7690700192e-02
3.39899          	-3.7688383768e-02
3.40404          	-3.7686066804e-02
3.40909          	-3.7683750996e-02
3.41414          	-3.7681434534e-02
3.41919          	-3.7679119319e-02
3.42424          	-3.7676803443e-02
3.42929          	-3.7674488808e-02
3.43434          	-3.7672169969e-02
3.43939          	-3.7669859404e-02
3.44444          	-3.7667543372e-02
3.44949          	-3.7665231452e-02
3.45455          	-3.7662916629e-02
3.4596           	-3.7660603930e-02
3.46465          	-3.7658290218e-02
3.4697           	-3.7655977905e-02
3.47475          	-3.7653662156e-02
3.4798           	-3.7651354158e-02
3.48485          	-3.7649039546e-02
3.4899           	-3.7646730021e-02
3.49495          	-3.7644417235e-02
3.5              	-3.7642107082e-02
3.50505          	-3.7639795402e-02
3.5101           	-3.7637485343e-02
3.51515          	-3.7635174632e-02
3.5202           	-3.7632864942e-02
3.52525          	-3.7630554899e-02
3.5303           	-3.7628245980e-02
3.53535          	-3.7625936371e-02
3.5404           	-3.7623627935e-02
3.54545          	-3.7621316147e-02
3.55051          	-3.7619012068e-02
3.55556          	-3.7616701542e-02
3.56061          	-3.7614395659e-02
3.56566          	-3.7612087131e-02
3.57071          	-3.7609780560e-02
3.57576          	-3.7607473204e-02
3.58081          	-3.7605167065e-02
3.58586          	-3.7602860336e-02
3.59091          	-3.7600554752e-02
3.59596          	-3.7598245618e-02
3.60101          	-3.7595944650e-02
3.60606          	-3.7593636814e-02
3.61111          	-3.7591334316e-02
3.61616          	-3.7589028105e-02
3.62121          	-3.7586724642e-02
3.62626          	-3.7584416909e-02
3.63131          	-3.7582117750e-02
3.63636          	-3.7579811735e-02
3.64141          	-3.7577510790e-02
3.64646          	-3.7575206288e-02
3.65152          	-3.7572904647e-02
3.65657          	-3.7570601361e-02
3.66162          	-3.7568300065e-02
3.66667          	-3.7565997488e-02
3.67172          	-3.7563696712e-02
3.67677          	-3.7561394720e-02
3.68182          	-3.7559094319e-02
3.68687          	-3.7556793062e-02
3.69192          	-3.7554493100e-02
