# Field minima and maxima
# Time           	min(p)           	max(p)           
0.403204819      	1.0000000000e+05	1.0939954327e+05
0.404204819      	1.0000000000e+05	1.0939954327e+05
0.405204819      	1.0000000000e+05	1.0939954327e+05
0.406204819      	1.0000000000e+05	1.0939954327e+05
0.407204819      	1.0000000000e+05	1.0939954327e+05
0.408204819      	1.0000000000e+05	1.0939954327e+05
0.409204819      	1.0000000000e+05	1.0939954327e+05
0.410204819      	1.0000000000e+05	1.0939954327e+05
0.411204819      	1.0000000000e+05	1.0939954326e+05
0.412204819      	1.0000000000e+05	1.0939954326e+05
0.413204819      	1.0000000000e+05	1.0939954326e+05
0.414204819      	1.0000000000e+05	1.0939954326e+05
0.415204819      	1.0000000000e+05	1.0939954326e+05
0.416204819      	1.0000000000e+05	1.0939954326e+05
0.417204819      	1.0000000000e+05	1.0939954326e+05
0.418204819      	1.0000000000e+05	1.0939954326e+05
0.419204819      	1.0000000000e+05	1.0939954326e+05
0.420204819      	1.0000000000e+05	1.0939954326e+05
0.421204819      	1.0000000000e+05	1.0939954326e+05
0.422204819      	1.0000000000e+05	1.0939954326e+05
0.423204819      	1.0000000000e+05	1.0939954326e+05
0.424204819      	1.0000000000e+05	1.0939954326e+05
0.425204819      	1.0000000000e+05	1.0939954326e+05
0.426204819      	1.0000000000e+05	1.0939954326e+05
0.427204819      	1.0000000000e+05	1.0939954326e+05
0.428204819      	1.0000000000e+05	1.0939954325e+05
0.429204819      	1.0000000000e+05	1.0939954325e+05
0.430204819      	1.0000000000e+05	1.0939954325e+05
0.431204819      	1.0000000000e+05	1.0939954325e+05
0.432204819      	1.0000000000e+05	1.0939954325e+05
0.433204819      	1.0000000000e+05	1.0939954325e+05
0.434204819      	1.0000000000e+05	1.0939954325e+05
0.435204819      	1.0000000000e+05	1.0939954325e+05
0.436204819      	1.0000000000e+05	1.0939954325e+05
0.437204819      	1.0000000000e+05	1.0939954325e+05
0.438204819      	1.0000000000e+05	1.0939954325e+05
0.439204819      	1.0000000000e+05	1.0939954325e+05
0.440204819      	1.0000000000e+05	1.0939954325e+05
0.441204819      	1.0000000000e+05	1.0939954325e+05
0.442204819      	1.0000000000e+05	1.0939954325e+05
0.443204819      	1.0000000000e+05	1.0939954324e+05
0.444204819      	1.0000000000e+05	1.0939954324e+05
0.445204819      	1.0000000000e+05	1.0939954324e+05
0.446204819      	1.0000000000e+05	1.0939954324e+05
0.447204819      	1.0000000000e+05	1.0939954324e+05
0.448204819      	1.0000000000e+05	1.0939954324e+05
0.449204819      	1.0000000000e+05	1.0939954324e+05
0.450204819      	1.0000000000e+05	1.0939954324e+05
0.451204819      	1.0000000000e+05	1.0939954324e+05
0.452204819      	1.0000000000e+05	1.0939954324e+05
0.453204819      	1.0000000000e+05	1.0939954324e+05
0.454204819      	1.0000000000e+05	1.0939954324e+05
0.455204819      	1.0000000000e+05	1.0939954324e+05
0.456204819      	1.0000000000e+05	1.0939954323e+05
0.457204819      	1.0000000000e+05	1.0939954323e+05
0.458204819      	1.0000000000e+05	1.0939954323e+05
0.459204819      	1.0000000000e+05	1.0939954323e+05
0.460204819      	1.0000000000e+05	1.0939954323e+05
0.461204819      	1.0000000000e+05	1.0939954323e+05
0.462204819      	1.0000000000e+05	1.0939954323e+05
0.463204819      	1.0000000000e+05	1.0939954323e+05
0.464204819      	1.0000000000e+05	1.0939954323e+05
0.465204819      	1.0000000000e+05	1.0939954323e+05
0.466204819      	1.0000000000e+05	1.0939954323e+05
0.467204819      	1.0000000000e+05	1.0939954323e+05
0.468204819      	1.0000000000e+05	1.0939954323e+05
0.469204819      	1.0000000000e+05	1.0939954322e+05
0.470204819      	1.0000000000e+05	1.0939954322e+05
0.471204819      	1.0000000000e+05	1.0939954322e+05
0.472204819      	1.0000000000e+05	1.0939954322e+05
0.473204819      	1.0000000000e+05	1.0939954322e+05
0.474204819      	1.0000000000e+05	1.0939954322e+05
0.475204819      	1.0000000000e+05	1.0939954322e+05
0.476204819      	1.0000000000e+05	1.0939954322e+05
0.477204819      	1.0000000000e+05	1.0939954322e+05
0.478204819      	1.0000000000e+05	1.0939954322e+05
0.479204819      	1.0000000000e+05	1.0939954322e+05
0.480204819      	1.0000000000e+05	1.0939954322e+05
0.481204819      	1.0000000000e+05	1.0939954321e+05
0.482204819      	1.0000000000e+05	1.0939954321e+05
0.483204819      	1.0000000000e+05	1.0939954321e+05
0.484204819      	1.0000000000e+05	1.0939954321e+05
0.485204819      	1.0000000000e+05	1.0939954321e+05
0.486204819      	1.0000000000e+05	1.0939954321e+05
0.487204819      	1.0000000000e+05	1.0939954321e+05
0.488204819      	1.0000000000e+05	1.0939954321e+05
0.489204819      	1.0000000000e+05	1.0939954321e+05
0.490204819      	1.0000000000e+05	1.0939954321e+05
0.491204819      	1.0000000000e+05	1.0939954321e+05
0.492204819      	1.0000000000e+05	1.0939954320e+05
0.493204819      	1.0000000000e+05	1.0939954320e+05
0.494204819      	1.0000000000e+05	1.0939954320e+05
0.495204819      	1.0000000000e+05	1.0939954320e+05
0.496204819      	1.0000000000e+05	1.0939954320e+05
0.497204819      	1.0000000000e+05	1.0939954320e+05
0.498204819      	1.0000000000e+05	1.0939954320e+05
0.499204819      	1.0000000000e+05	1.0939954320e+05
0.500204819      	1.0000000000e+05	1.0939954320e+05
0.501204819      	1.0000000000e+05	1.0939954320e+05
0.502204819      	1.0000000000e+05	1.0939954319e+05
0.503204819      	1.0000000000e+05	1.0939954319e+05
0.504204819      	1.0000000000e+05	1.0939954319e+05
0.505204819      	1.0000000000e+05	1.0939954319e+05
0.506204819      	1.0000000000e+05	1.0939954319e+05
0.507204819      	1.0000000000e+05	1.0939954319e+05
0.508204819      	1.0000000000e+05	1.0939954319e+05
0.509204819      	1.0000000000e+05	1.0939954319e+05
