# Field minima and maxima
# Time       	field        	min          	location(min)	processor    	max          	location(max)	processor    
1.63696      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	9.708374e-01	(-3.666854e-03 0.000000e+00 8.085000e-02)	0
1.64715      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.025756e+00	(-3.666854e-03 0.000000e+00 9.075000e-02)	0
1.6567       	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.094386e+00	(0.000000e+00 0.000000e+00 9.075000e-02)	0
1.66566      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.174499e+00	(0.000000e+00 0.000000e+00 1.006500e-01)	0
1.67461      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.186895e+00	(0.000000e+00 0.000000e+00 1.105500e-01)	0
1.68357      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.151268e+00	(-3.666854e-03 0.000000e+00 3.300000e-02)	0
1.69189      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.175785e+00	(0.000000e+00 0.000000e+00 1.204500e-01)	0
1.7002       	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.073248e+00	(-3.666854e-03 0.000000e+00 4.620000e-02)	0
1.70852      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.075520e+00	(-3.666854e-03 0.000000e+00 5.940000e-02)	0
1.71684      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.067027e+00	(-3.666854e-03 0.000000e+00 5.940000e-02)	0
1.72515      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.067552e+00	(-3.666854e-03 0.000000e+00 7.095000e-02)	0
1.73347      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.062681e+00	(-3.666854e-03 0.000000e+00 8.085000e-02)	0
1.74178      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.058325e+00	(-3.666854e-03 0.000000e+00 8.085000e-02)	0
1.7501       	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.079413e+00	(0.000000e+00 0.000000e+00 1.105500e-01)	0
1.75842      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.131293e+00	(0.000000e+00 0.000000e+00 1.204500e-01)	0
1.76673      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.117609e+00	(0.000000e+00 0.000000e+00 1.303500e-01)	0
1.77505      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.128834e+00	(0.000000e+00 0.000000e+00 1.303500e-01)	0
1.78337      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.121863e+00	(0.000000e+00 0.000000e+00 1.402500e-01)	0
1.79168      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.128168e+00	(0.000000e+00 0.000000e+00 1.303500e-01)	0
1.8          	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.137319e+00	(0.000000e+00 0.000000e+00 1.402500e-01)	0
1.80833      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.091237e+00	(0.000000e+00 0.000000e+00 1.501500e-01)	0
1.81705      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.085181e+00	(0.000000e+00 0.000000e+00 1.501500e-01)	0
1.82576      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.035948e+00	(0.000000e+00 0.000000e+00 1.600500e-01)	0
1.83447      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.057273e+00	(-3.666854e-03 -3.666854e-03 2.095500e-01)	1
1.84367      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.017529e+00	(-3.666854e-03 -3.666854e-03 2.095500e-01)	1
1.85235      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.010199e+00	(-3.666854e-03 0.000000e+00 9.075000e-02)	0
1.86104      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.024037e+00	(-3.666854e-03 0.000000e+00 1.006500e-01)	0
1.86972      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.024556e+00	(-3.666854e-03 0.000000e+00 1.105500e-01)	0
1.87841      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.032489e+00	(-3.666854e-03 0.000000e+00 1.105500e-01)	0
1.88776      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.056738e+00	(-3.666854e-03 0.000000e+00 1.204500e-01)	0
